_id,name,inactive
ObjectId(55c8861dfdf6f00300b9f89a),Testing List,true
ObjectId(562f96b7d57da7030049fb20),LatAm Viva,false
ObjectId(56388465e4b0c3d64132e189),Martin Sandbu's Free Lunch,false
ObjectId(563b8c35e4b0ac783fb3e439),MBA Editor's Choice,false
ObjectId(564495f8e4b0af6681f0f39d),Breaking News,false
ObjectId(5655cf2be4b01077e911d5cf),(Deprecated) Old Brussels Briefing,true
ObjectId(5655d099e4b01077e911d60f),Energy Source,false
ObjectId(56657d10e4b04e04251004fd),Best of Lex,false
ObjectId(566825b8cb56e60cea589e91),Brussels Briefing,false
ObjectId(56703b20cb56e617eb2c4084),#techFT,false
ObjectId(56717d9fcb56e619f6573192),UK Companies,false
ObjectId(568f8ce4cb56e6086a184091),Africa (Sub-Sahara) Companies,false
ObjectId(5694ca3fc988c003000004de),Americas Companies,false
ObjectId(5696586d64fcc10300826f15),Asia-Pacific Companies,false
ObjectId(56977324906b6d030070b722),European Companies,false
ObjectId(5698c28807966903007eab6d),Middle East and North Africa,false
ObjectId(5698c3b13830470300f460e4),US & Canadian Companies,false
ObjectId(569e4c0abafef80300aaead3),World News,false
ObjectId(569e6435b2014103006bcc33),Global Business,false
ObjectId(569f980415891303001b4ca4),China News,false
ObjectId(56a64b704f693a0300dfab7e),White House countdown,false
ObjectId(56a9de8f77ebbd0300eb24a1),Dear Lucy,false
ObjectId(56aa3333b4a58403003d9afa),Lucy Kellaway,false
ObjectId(56ab329b5d5fa10300618bd8),(Deprecated) Business Education,true
ObjectId(56ab36e4d7499603009cc127),Business Education,false
ObjectId(56ab5c42db737f03006e982c),The Big Read,false
ObjectId(56b0ba3c51eb850300eb5d43),UK Politics,false
ObjectId(56b1f9c27b2ee603009fd0fe),The Week Ahead,false
ObjectId(56b37b064a113e030070f833),Opening Quote,false
ObjectId(56b87287f224b50300bf8519),FTfm,false
ObjectId(56b8758fe0b83903004866c3),Emerging Markets: New York AM,false
ObjectId(56b8830a9ad2fc03002a39ab),Emerging Markets: London AM,false
ObjectId(56bc809993fc640300871734),FT Trading room,false
ObjectId(56bc9d746fdedf0300fca0ea),Properties & Mortgages,false
ObjectId(56bc9d98ff9446030035f264),Personal Finance,false
ObjectId(56bdb4113dc71c03000c3160),Lex Asia,false
ObjectId(56bdb42f5a7db8030078b44d),Lex US,false
ObjectId(56bdb4441485790300b55324),Lex Europe,false
ObjectId(56c1f8cbde2d160300fff3a5),Commodities Note,false
ObjectId(56c2edb92bb6de0300afa2fe),ETFs,false
ObjectId(56c2fa1a2304160300c3fa1f),Markets morning briefing,false
ObjectId(56c2fa2d3ffcf9030065e2b3),Markets afternoon briefing,false
ObjectId(56c5aaac1ebc330300cb4b86),UK morning headlines,false
ObjectId(56c5d4be1ebc330300cb4bae),Europe morning headlines,false
ObjectId(56c5db1d1d995a0300fb136d),Asia morning headlines,false
ObjectId(56c6e05a87fd7e0300f8b1a6),US morning headlines,false
ObjectId(56c6e0759fcafb03008198bd),In Today's FT,false
ObjectId(56c6e091bd82a8030039c6c0),Comment,false
ObjectId(56c6f581b0cd6103004d366d),Inside Business,false
ObjectId(56caeea88b8aca0300efcbdc),FirstFT Europe/Africa,false
ObjectId(56caef0ea9b6b90300a2283f),FirstFT Americas,false
ObjectId(56caef18434fd60300f27c05),FirstFT Asia,false
ObjectId(56cafe7f434fd60300f27c15),Energy,false
ObjectId(56cc47c92b5d790300bef42e),Financials,false
ObjectId(56cf341c613b5603005bf65d),(Deprecated) FirstFT Americas,true
ObjectId(56cf342c613b5603005bf65e),(Deprecated) FirstFT Asia,true
ObjectId(56d422064efa8f03004759c5),Editor's Choice,false
ObjectId(56d4225ba2b6c30300fd5746),FT Newsmine,false
ObjectId(56d42625a2b6c30300fd5748),FT Weekend,false
ObjectId(56d429154efa8f03004759ca),Health,false
ObjectId(56d429364efa8f03004759cb),Industrials,false
ObjectId(56d42948b54a980300c29d94),Media,false
ObjectId(56d429610109720300a0880c),Luxury,false
ObjectId(56d429a1939a27030025206e),Retail & Consumer,false
ObjectId(56d42a226cf0d40300479c9b),Technology,false
ObjectId(56d42a31a63ec00300b84a08),Telecoms,false
ObjectId(56d42a5e939a270300252070),Transport,false
ObjectId(56ddb60496d95c03003bbf2b),Companies By Sector,false
ObjectId(570e4084faeada03005064ec),FT Exclusive,false
ObjectId(575981ede74eb90300a44d8e),#fintechFT,false
ObjectId(577b86070988bc03007f195b),FT Brexit Briefing,false
